"","source","Dissimilarity","IsMetric","NegCounter","ZeroCounter","PcoaNegFrac","pseudo_F","pseudo_R2","p_value","MiRKAT_Rsquared"
"1","cardiovascular","manhattan","YES",0,0,"0%",1.08899886450334,0.0481382226633327,0.011011011011011,0.00300459290503693
"2","cardiovascular","euclidean","YES",0,0,"1.45563970252514e-16%",1.97807362191907,0.0841325074966291,0.004004004004004,0.00366057851779259
"3","cardiovascular","canberra","YES",0,0,"0%",1.44541095477852,0.0629020862348126,0,0.00302732897535068
"4","cardiovascular","clark","YES",0,0,"3.13044913487077e-16%",1.29832867750186,0.0568652723085036,0,0.0030295418696128
"5","cardiovascular","bray","YES",0,0,"0%",1.44934630469153,0.0630625465576079,0,0.00323990099069411
"6","cardiovascular","kulczynski","NO",1.55383518376976e-07,0,"0%",1.11807790661779,0.049360187529764,0,0.00299914390304048
"7","cardiovascular","jaccard","YES",0,0,"0%",1.5147676293494,0.0657220146597747,0,0.00330091845129383
"8","cardiovascular","gower","YES",0,0,"0%",1.07805949364368,0.047677712819065,0.0920920920920921,0.00289538109361691
"9","cardiovascular","altGower","NO",0.00420421185672646,0,"0%",1.07820962492521,0.047684035844684,0.001001001001001,0.00300642848368808
"10","cardiovascular","morisita","NO",0.00380508339252204,0,"7.97282367663776e-17%",1.22873084414444,0.0539815209448457,0,0.00295176478397287
"11","cardiovascular","horn","NO",0.00380031829795848,0,"0%",1.22873172547042,0.0539815575738011,0,0.00295174086783261
"12","cardiovascular","binomial","YES",0,0,"5.1335818357669e-16%",1.36974665452552,0.0598062206153774,0,0.00281725568379387
"13","cardiovascular","chao","NO",0.277937140840719,0.000851190913669016,"1.1377361941121e-16%",1.07328667738688,0.047476654045493,0.02002002002002,0.00297247149556228
"14","cardiovascular","cao","YES",0,0,"0%",1.33272971422624,0.0582841791109502,0,0.00328786459172704
"15","cardiovascular","chisq","YES",0,0,"4.15091308981718e-17%",1.1761988617282,0.0517931788125507,0.028028028028028,0.0026116193661284
"16","cardiovascular","chord","YES",0,0,"0%",1.58412548698157,0.0685250701339843,0,0.00308643801050326
"17","cardiovascular","hellinger","YES",0,0,"0%",1.8124895787814,0.0776365684604269,0,0.00369589784734923
"18","cardiovascular","aitchison","YES",0,0,"0%",1.8124895787814,0.0776365684604269,0,0.00369589784734923
"19","cardiovascular","robust.aitchison","YES",0,0,"0%",1.61899117972516,0.0699278026624067,0,0.00323556998575944
"20","cardiovascular","unifrac_unweighted","YES",0,0,"0%",1.68362980172571,0.0725172276809679,0,0.00306515019103556
"21","cardiovascular","unifrac_weighted_phyloseq","YES",0,0,"0%",1.27560294430861,0.0559255779744099,0,0.00298972055644414
"22","cardiovascular","unifrac_weighted_gunifrac","YES",0,0,"0%",1.26427549561878,0.0554564956835823,0,0.00327814458664302
"23","Concordance_oral_16S","manhattan","YES",0,0,"2.71176095269293e-16%",1.08975539252479,0.0539089081893007,0.548548548548549,0.00566695537975121
"24","Concordance_oral_16S","euclidean","YES",0,0,"0%",0.718003802323173,0.0361842294380405,0.894894894894895,0.00276090360111131
"25","Concordance_oral_16S","canberra","YES",0,0,"0%",1.10291911343527,0.0545245957950622,0.01001001001001,0.00660739794269817
"26","Concordance_oral_16S","clark","YES",0,0,"0%",1.07327528083144,0.0531369765937391,0.012012012012012,0.00650295829256007
"27","Concordance_oral_16S","bray","NO",4.79257725634537e-07,0,"0%",1.07053713857923,0.0530085994362687,0.425425425425425,0.0058503714734442
"28","Concordance_oral_16S","kulczynski","NO",1.77325358484779e-05,0,"0%",1.10430938644423,0.0545895742335246,0.428428428428428,0.00578770889238584
"29","Concordance_oral_16S","jaccard","YES",0,0,"0%",1.01574746805371,0.0504324613406152,0.43043043043043,0.00598946521481506
"30","Concordance_oral_16S","gower","YES",0,0,"0%",1.11122500766327,0.0549126631692649,0.56956956956957,0.00594437218332412
"31","Concordance_oral_16S","altGower","NO",0.0177756690437853,0,"2.79951926666352e-15%",1.1222144007325,0.0554256194714815,0.432432432432432,0.00604340003107932
